Id,Description,Start at,End at,File url,Created at,Updated at,Image,Old,Name,Old url,Comment,Slug,Locked
47590,"An eclectic mix of rock and related music. Still the only place in and around New York to hear the newest independent and imported sounds without chatter and filler. Three hours a day of pure, unadulterated, adventurous New Sounds. Each DJ adds their own perspective to give the show some nice daily variation. Plus ticket giveaways, interviews, guest DJ's and live in-studio performances by today's underground stars. 

FEATURING A LIVE, IN-STUDIO PERFORMANCE FROM PUNCHLOVE

Album of the Week: Placebo - Never Let Me Go",2022-03-28 16:00:00 -0400,2022-03-28 19:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/e9fd195265b47db9771899a7655a95db.mp3,2022-03-28 15:00:06 -0400,2022-03-28 19:00:06 -0400,"",,The New Afternoon Show,2022-03-28,,2022-03-28-the-new-afternoon-show,true
47589,"The Sound Between, airing daily from 2 to 4pm, is a show focusing primarily on new releases. Tune in every single day to hear each individual hosts' take on what's going on in the world of independent music. Depending on the day, you'll be hearing a mix of the latest indie rock, imports, rockin new reissues, local heroes, and lots more!",2022-03-28 14:00:00 -0400,2022-03-28 16:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/313c5650c444b09ff929010070d61389.mp3,2022-03-28 13:00:06 -0400,2022-03-28 16:00:05 -0400,"",,The Sound Between,2022-03-28,,2022-03-28-the-sound-between,true
47588,"From Japan’s legendary fusion jazz scene of the 1970s to the bustling gospel and hard bop community in Detroit, Uncommon Time takes you on a journey to a new world of jazz each week, highlighting some of the best tracks and jams from unique and subversive musical communities around the globe. Expect some recently streamable deep cuts, brand new tracks, and even some staples from your favorite jazz legends every Monday at Noon.",2022-03-28 12:00:00 -0400,2022-03-28 14:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/df78afa3296a69c8fdaee70f17d30244.mp3,2022-03-28 11:00:05 -0400,2022-03-28 14:00:05 -0400,"",,Uncommon Time ,2022-03-28,,2022-03-28-uncommon-time,true
47586,"Named after Eric Dolphy's 1964 album, Out to Lunch is an exploration of the post-bop jazz movement of the mid-1960s to 70s. More abstract and experimental than bebop but not as out there as free jazz, post-bop pushed jazz towards a freer future. Tune in Monday mornings to hear some music from this revolutionary transition period. ",2022-03-28 08:00:00 -0400,2022-03-28 10:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/35bd04384558695e437daa31c7d87a72.mp3,2022-03-28 07:00:06 -0400,2022-03-28 10:00:04 -0400,"",,Out to Lunch,2022-03-28,,2022-03-28-out-to-lunch,true
47585,"The goal of Next Level is to shed light on some of the legendary work of video game composers, both past and present. Just because it's from a game doesn't mean it doesn't bang - the catalog of retro synth sounds from the golden era of gaming has a rich crossover with 90's house, jungle, and techno, with many producers actively engaged in or going onto have their own prolific careers outside of the soundtracks they programmed. We will generally focus on games from the 90s - 2000s, but will occasionally check out standout tracks from other eras or even new Indie and AAA releases.
",2022-03-28 01:00:00 -0400,2022-03-28 03:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/ae97cf22c5831fcc948ebcf71c66aac0.mp3,2022-03-28 00:00:07 -0400,2022-03-28 03:00:13 -0400,"",,Next Level,2022-03-28,,2022-03-28-next-level,true
47584,"Two hours of every genretimeplace held feebly together by a thin strand of weekly motif. SCATTERBRAIN is whiplash of the ear. THIS WEEK""S THEME: PLASTIC",2022-03-27 23:00:00 -0400,2022-03-28 01:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/8ed89fb86c112c4f41fdb81f22f12fdb.mp3,2022-03-27 22:00:06 -0400,2022-04-18 00:55:35 -0400,"",,Scatterbrain,2022-03-27,,2022-03-27-scatterbrain,true
47583,"When you shower or bathe, do you sing? Do you jam-out? Do you dream of being a superstar? If so, Bathtime Rave is the show for you. Focusing in experimental rave music, Bathtime Rave explores the realms of neo-perreo, mosh pit rock, and hyperpop for all of your bathtime musical needs.",2022-03-27 21:00:00 -0400,2022-03-27 23:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/6b8f2b126896b530d76bd5df7517af50.mp3,2022-03-27 20:00:07 -0400,2022-03-27 23:00:12 -0400,"",,Bathtime Rave,2022-03-27,,2022-03-27-bathtime-rave,true
47582,"Hi everyone, welcome to The Slink Show! The Slink Show spotlights legendary independent label Warp Records and the bustling 90’s electronic scene in the UK. Drawing inspiration from the Detroit and Chicago club scenes of the late 80’s, the UK adapted its own brand of electronic music and pushed the boundaries of what dance music could sound like. One label was at the center of it all: Warp Records
Tune in for a deep dive into the catalogue of Warp Records, and an exploration into the world of electronic music. ",2022-03-27 19:00:00 -0400,2022-03-27 21:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/84ed41553c3bf08c58304dc6c2747206.mp3,2022-03-27 18:00:06 -0400,2022-03-27 21:00:11 -0400,"",,Slink Show,2022-03-27,,2022-03-27-slink-show,true
47581,"All a Blur explores the musical and cultural movement of Britpop. Taking place in the mid-1990s and in opposition to the U.S.-led grunge movement, the sound of Britpop is lighthearted, bright, and catchy and draws influence from glam rock and indie pop. Get ready to find your next favorite song! Cheers!",2022-03-27 17:00:00 -0400,2022-03-27 19:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/ee05090c7cb480e1a8249c1d3ae5c198.mp3,2022-03-27 16:00:06 -0400,2022-03-27 19:00:11 -0400,"",,All A Blur,2022-03-27,,2022-03-27-all-a-blur,true
47580,"Your weekly WNYU recap is finally here! Hear what you may have missed on our weekday FM shows, the latest news, and whatever else we can find in the sink. Hosted by WNYU's current General Manager, Cate Hynes",2022-03-27 16:00:00 -0400,2022-03-27 17:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/be2297b74bdd2f33d80151586ad0a3af.mp3,2022-03-27 15:00:06 -0400,2022-03-27 17:00:10 -0400,"",,The Kitchen Sink,2022-03-27,,2022-03-27-the-kitchen-sink,true
47579,"Shake ‘Em on Down explores the musical origins of the United States. Driven by the blending of the spiritual and secular, the current host, Katherine Libenson, focuses primarily on blues and soul releases spanning 1920-1970, with a smattering of jazz, country and folk. Tune in and be nourished by ecstatic musical expressions of love, loss, and life. ",2022-03-27 14:00:00 -0400,2022-03-27 16:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/11bba759a18d52555ef6302b4828439b.mp3,2022-03-27 13:00:06 -0400,2022-03-27 16:00:10 -0400,"",,Shake 'Em On Down,2022-03-27,,2022-03-27-shake-em-on-down,true
47578,"The influence of the British Invasion wasn’t solely felt in the States. Predominantly in Peru and Argentina, underground scenes began to invent their own styles of psychedelic rock to punk rock, and everything in between. Tune in for South American rock music from the 60s-90s, and don’t worry, you don’t need to know Spanish to savor these tracks!",2022-03-27 12:00:00 -0400,2022-03-27 14:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/b4948cdf0cf5ebc67348fe0aca7d62a3.mp3,2022-03-27 11:00:07 -0400,2022-03-27 14:00:10 -0400,"",,Malas Influencias,2022-03-27,,2022-03-27-malas-influencias,true
47577,"Songland NYU is a radio show at WNYU 89.1FM that features NYU's musical talent. The show includes original songs that are written, produced, and/or recorded by students and recent grads of the university. In addition to broadcasting exclusively NYU-made songs, Songland NYU will take listeners deeper behind the scenes of each track, giving insight into not only the artist, but the producers, songwriters, other collaborators, and creative process! Tune into Songland NYU Sundays from 10am-noon EST.

Pitch your music to be played on this show at tinyurl.com/songlandnyu-pitch ",2022-03-27 10:00:00 -0400,2022-03-27 12:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/f0870aa4d66e49692fe250ed3d55bb86.mp3,2022-03-27 09:00:06 -0400,2022-03-27 12:00:09 -0400,"",,Songland NYU,2022-03-27,,2022-03-27-songland-nyu,true
47576,"The show delves into the ""Rempetiko"" a traditional Greek genre that is defined by an attitude, music and lyrics involving a disregard for the law and a life in the margins of society. The metallic and powerful sounds of Rempetiko comprise the mystical world of the ""Greek urban blues.”",2022-03-27 08:00:00 -0400,2022-03-27 10:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/0306d5f280b1de378d0f343701b1e2f6.mp3,2022-03-27 07:00:06 -0400,2022-03-27 10:00:09 -0400,"",,Ta Rempetika,2022-03-27,,2022-03-27-ta-rempetika,true
47575,"Perestroika digs deep into a post-Soviet world of experimentation between bass, synth, and airy lo-fi beats. Sovietwave, arising from a seemingly nostalgic yearning for the Space Age, is beyond an impending sense of red doom often associated with its production. Its richness lies in the subtleties of scientific curiosity, establishing individual autonomy over the collective, and childhood reminisce of what the failed state could have been. The satellite states current fascination for the intensity of the genre is highlighted in its evolutionary beginnings, with the Russian duo PPK serving as the amniotic sac fusing with the then current scene of trance music. As the embryo began to form within the 2010’s, political tensions were at an all-time high in Kiev’s uprisings towards Ukrainian president Viktor Yanukovych. Explosions of tension filled techno began to swarm Eastern European independent artists' consciousness, alongside remnants of Latvian disco and angsty rock. Given the COVID-19 pandemic, we also began to see viral Tik Tok’s of Belarusian group Molchat Doma’s audios entering a mainstream space. While Depeche Mode takes credit for synth-pop, Eastern European traditions continue to lay the groundwork for greater questions of what the dreamscape is for each individual who creates Eastern music within a Western world. 
",2022-03-27 06:00:00 -0400,2022-03-27 08:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/ebaea3a384ea89a4a8d124abb31afd36.mp3,2022-03-27 05:00:06 -0400,2022-03-27 08:00:08 -0400,"",,Perestroika,2022-03-27,,2022-03-27-perestroika,true
